品牌类型,品牌名称,在售产品
手机,Mate系列,MateXs2
MateX3,,
MateX5,,
Mate50,,
Mate50Pro,,
Mate50E,,
Mate50Rs,,
Mate60,,
Mate60Pro,,
Mate60Pro+,,
Mate60 RS 非凡大师,,
Mate XT,,
P系列,P50,
P50Pro,,
P60,,
P60Pro,,
P60Art,,
Pura 70（注：华为2024年4月15日宣布P系列正式升级为Pura系列）,,
Pura 70 Pro,,
Pura 70 Pro+,,
Pura 70 Ultra,,
Nova系列,Nova10,
Nova10Pro,,
Nova10z,,
Nova10SE,,
Nova10Ultra,,
Nova10青春版,,
Nova11,,
Nova11Pro,,
Nova12（该版本仅在华为商城销售）,,
Nova12活力版,,
Nova12Pro,,
Nova12Ultra,,
Nova Flip,,
畅想系列,畅想50,
畅想50z,,
畅想60,,
畅想60X,,
畅想60Pro,,
Pocket系列,Pocket S,
Pocket 2,,
电脑/笔记本,数字系列,MateBook13
MateBook14,,
MateBook14锐龙版,,
D系列,MateBookD14,
MateBookD15,,
MateBookD15 SE,,
MateBookD16,,
MateBook D16 SE,,
X系列,MateBookX,
MateBookXPro,,
平板,MatePad系列,MatePad Air
MatePad11,,
MatePad11,,
MatePad Pro系列,MatePad Pro11,
MatePad Pro12.6,,
二合一笔记本,MateBookE,
MateBookE Go,,
MateBookE2023款,,
墨水屏系列,MatePad Paper,
智能穿戴,手表：WATCH系列,WATCH3
WATCH4,,
WATCHD,,
WATCHBuds,,
手表：WATCH GT系列,WATCH GT3,
WATCH GT3 Pro,,
WATCH GT 4,,
WATCH GT 5,,
WATCH GT 5 PRO,,
WATCH GT Cyber,,
WATCH GTRunner,,
智能手环系列,华为手环8,
华为手环9,,
WATCH FIT2,,
WATCH FIT3,,
通话手环B7,,
耳机：无线蓝牙,FreeBuds4E,
FreeBuds5i,,
FreeBuds6i,,
FreeBuds SE,,
FreeBuds Pro2,,
耳机：颈戴式,FreeLace,
FreeBuds SE 2,,
路由器,1500MbpsWi-Fi6,华为路由AX2Pro
3000MbpsWi-Fi6+,华为路由AX3,
华为路由AX3Pro,,
7200MbpsWi-Fi6+,华为路由AX6,
参考资料,,
