年份,奖项,发布机构
2025年,《2024胡润中国500强》，以企业估值6800亿元位列第10位,
《2024胡润品牌榜》，以企业估值830亿元位列第12位,胡润百富,
2024年,2024年中国出海品牌百强榜领军品牌第5位,深圳工业总会、中国信通院广东工业互联网创新中心、龙睿国际品牌咨询
列入《2024胡润中国元宇宙潜力企业榜》位列1位。,胡润研究院,
2024年《财富》中国科技50强,,
《艾媒金榜 | 2024年中国信创企业百强榜》第1名,iiMedia Research（艾媒咨询）,
2024中国全球化品牌榜单第5名,-,
"中国移动携手华为凭借项目“绿色网络和关爱海洋:打造洁净和安全的海洋环境,并造福沿海居民的经济与生活”,成功摘得“人与地球”卓越奖。",TM Forum DTW数字化转型世界系列峰会,
2023年,人才发展最佳贡献总理奖,泰国
入选《2023 胡润中国产业互联网 30 强》榜单第1名,胡润研究院,
中国ESG榜样年度影响力特别奖,中央广播电视总台,
5G生产力挑战奖,GSMA（全球移动通信系统协会）,
2022年,入选《胡润中国民营企业可持续发展百强榜》，排名第2位,胡润研究院
十大“国之重器”品牌,-,
“5G产业合作伙伴奖”,GSMA GLOMO（全球移动大奖，Global Mobile Awards）,
入选《中国专利能力领先企业（2017-2021）榜单》,智慧芽旗下智慧芽创新研究中心,
《2022凯度BrandZ中国全球化品牌50强》，排名第5名,Google谷歌、凯度,
入选《2022中国消费品牌500强》,新茅榜,
入选全球自动驾驶领域发明专利企业排名，位列第6位,中国知识产权杂志,
入选2022中国先进计算企业百强榜单,赛迪,
入选2022年全国供应链创新与应用示范城市和示范企业名单,-,
《2022年中国杰出品牌排行榜TOP50》，排名第1名,艾媒金榜,
《2022年上半年中国智能手表品牌排行榜Top15》，排名第1名,艾媒金榜,
入选“2022全球品牌百强榜”排名67位,-,
《2022世界品牌500强》第18位,-,
《2022年胡润中国500强》第5名,胡润研究院,
以客户为中心杰出成就奖,欧洲质量管理基金会（EFQM）,
2021年,2021中国民营企业500强第1名,-
2021中国企业500强发明专利数第1名,-,
2021中国企业500强研发投入第1名,-,
2021年《亚洲品牌500强》排行榜第10位,世界品牌实验室,
最具创新边缘计算成果（全球首个云边端协同5G工业机器视觉解决方案）,5G World 2021峰会,
入选福布斯2021全球最佳雇主榜，排名第8位,-,
2020年,2019胡润中国500强民营企业第4位,胡润研究院
2019年中国软件业务收入前百家企业第1位,工信部,
2020年全球最具价值500大品牌榜第10位,Brand Finance,
“5G领导力奖”、“智慧城市最佳移动创新奖”、“未来科技奖”、“最佳气候行动移动创新”、5G行业合作伙伴奖”,全球移动通信系统协会（GSMA）[71-72],
2019年中国进口企业200强,中国海关,
2020中国品牌500强第3位,中国亚洲经济发展协会品牌管理专业委员会,
2020福布斯中国最具创新力企业,福布斯,
2020年BrandZ最具价值全球品牌100强第45位,BrandZ,
2020年《中国装备制造业100强》排行第2位,-,
2020年《财富》世界500强（企业名单）位列49位,《财富》,
2020中国民营企业500强第1名,-,
通过2020年复核评价的国家技术创新示范企业,工业和信息化部、财政部,
《2020胡润中国10强消费电子企业》,胡润,
《2020Q1中国智能手表品牌排行榜TOP15》第1名,艾媒金榜,
《2020Q1中国智能手环品牌排行榜TOP15》第2名,艾媒金榜,
《2020Q1中国智能路由器品牌排行榜TOP15》第1名,艾媒金榜,
《2020Q1中国十大智能音箱品牌排行榜单》第3名,艾媒金榜,
《2020年5月中国十大智能电视品牌排行榜》第8名,艾媒金榜,
《2020“618”中国电商消费十大3C数码品牌排行榜单》第1名,艾媒金榜,
2019年,中国电子信息百强企业（第1名）,中国电子信息行业联合会
2019中国民营企业500强排名第1名,-,
IPO专利300强（第19名）,美国知识产权所有者协会(IPO),
2019中国大数据企业50强,工业和信息化部,
2019世界制造业大会创新产品金奖,-,
